listing_id,category,location,seller_type,posted_days_ago,title,description,price_aed,is_suspicious,suspicious_reason
2293,Electronics,Ajman,business,6,Bose Model Z 256GB Fair,Fair. No issues. Can meet in Ajman.,3303,0,
2952,Fashion,JLT,individual,0,PROMOTION 😱 H&M MODEL X FOR SALE - NEW,New. No issues. Can meet in JLT.,1156,1,new_listing_fast_post|spam_title_caps
2449,Apartments,JLT,individual,17,1BR apartment in JLT - Unfurnished,1 bedroom apartment in JLT. Unfurnished. Ready to move. Family building.,16608,0,
3359,Apartments,Business Bay,business,0,4 bedroom apartment for rent in Business Bay,4 bedroom apartment in Business Bay. Furnished. Ready to move. Family building. Contact WhatsApp +971564664866 offer offer offer offer offer offer offer offer offer offer,17263,1,phone_in_description|repeated_words
2465,Bikes,Bur Dubai,business,3,Yamaha Model Y 512GB Like New,Like New. No issues. Can meet in Bur Dubai.,5228,0,
1298,Electronics,JLT,individual,26,Samsung A54 512GB Used,Used. No issues. Can meet in JLT.,4468,0,
3177,Apartments,JLT,individual,1,URGENT SALE 💯 1BHK IN JLT | FURNISHED,1 bedroom apartment in JLT. Furnished. Ready to move. Family building. Contact WhatsApp +971508825067,1576,1,new_listing_fast_post|phone_in_description|price_too_low|spam_title_caps
1178,Furniture,Deira,individual,9,Coffee table - barely used,Coffee table in New. Pickup from Deira.,1972,0,
2187,Fashion,Downtown Dubai,business,21,Zara Model X 128GB Used,Used. No issues. Can meet in Downtown Dubai.,1041,0,
2472,Electronics,Ajman,individual,2,LG Model Z 64GB - with box,Fair. No issues. Can meet in Ajman.,4037,0,
1188,Laptops,Bur Dubai,individual,25,Dell XPS 13 for sale - Good condition,Good condition. Battery good. Includes charger. Available in Bur Dubai.,3106,0,
1572,Cars,Dubai Marina,individual,6,2009 Nissan Altima - 164687km,Good condition. Well maintained. Service history available. Located in Dubai Marina.,109868,0,
1433,Laptops,JLT,individual,23,HP laptop 16GB/512GB - Used,Used. Battery good. Includes charger. Available in JLT.,1110,0,
1518,Apartments,Abu Dhabi,individual,0,3BR apartment in Abu Dhabi - Semi-furnished,3 bedroom apartment in Abu Dhabi. Semi-furnished. Ready to move. Family building.,6207,0,
3346,Mobiles,Ajman,business,13,CHEAP ⚡ GOOGLE MODEL Y 256GB LIKE NEW,Like New. No issues. Can meet in Ajman. Contact WhatsApp +971564905409,197,1,phone_in_description|price_too_low|spam_title_caps
3271,Electronics,Downtown Dubai,business,3,Bose Model X for sale - Like New,Like New. No issues. Can meet in Downtown Dubai. Email: osbornejeffery@gmail.com,934,1,email_in_description|price_too_low
2084,Jobs,Deira,business,9,Generic Model Y for sale - Used,Used. No issues. Can meet in Deira.,0,0,
2288,Apartments,Dubai Marina,business,30,3 bedroom apartment for rent in Dubai Marina,3 bedroom apartment in Dubai Marina. Unfurnished. Ready to move. Family building.,3232,0,
2123,Cars,Business Bay,individual,15,2023 Kia Model Y - 122878km,Fair. Well maintained. Service history available. Located in Business Bay.,96430,0,
2341,Laptops,Ajman,individual,24,Lenovo IdeaPad for sale - New,New. Battery good. Includes charger. Available in Ajman.,3467,0,
3256,Furniture,Sharjah,individual,24,Office chair for sale - Like New,Office chair in Like New. Pickup from Sharjah.,1648,1,
2490,Jobs,Bur Dubai,business,19,Generic Model Y for sale - New,New. No issues. Can meet in Bur Dubai.,0,0,
1043,Mobiles,Sharjah,individual,7,Xiaomi Model Y 128GB Good condition,Good condition. No issues. Can meet in Sharjah.,596,0,
2878,Cars,Ajman,individual,1,WHATSAPP 💯 2022 KIA MODEL X 37134KM - USED,Used. Well maintained. Service history available. Located in Ajman. Contact WhatsApp +971574845153,141264,1,new_listing_fast_post|phone_in_description|spam_title_caps
1450,Jobs,JLT,business,24,Generic Model Y 512GB - with box,New. No issues. Can meet in JLT.,0,0,
3045,Furniture,Bur Dubai,individual,1,CALL NOW ⚡ OFFICE CHAIR - USED,Office chair in Used. Pickup from Bur Dubai. Contact WhatsApp +971572997872 sale sale sale sale sale sale sale sale sale sale sale sale,1318,1,new_listing_fast_post|phone_in_description|repeated_words|spam_title_caps
1044,Apartments,Downtown Dubai,business,10,4 bedroom apartment for rent in Downtown Dubai,4 bedroom apartment in Downtown Dubai. Unfurnished. Ready to move. Family building.,7925,0,
2283,Furniture,Ajman,individual,0,Office chair for sale - Used,Office chair in Used. Pickup from Ajman.,832,0,
2967,Furniture,Downtown Dubai,business,12,GUARANTEED 😱 OFFICE CHAIR - NEW,Office chair in New. Pickup from Downtown Dubai. Contact WhatsApp +971506570713,423,1,phone_in_description|spam_title_caps
3090,Laptops,Business Bay,business,17,GENUINE 😱 ASUS ROG 32GB RAM 512GB SSD - NEW,New. Battery good. Includes charger. Available in Business Bay. Contact WhatsApp +971505812790 original original original original original,5847,1,phone_in_description|repeated_words|spam_title_caps
1254,Mobiles,Deira,individual,23,OnePlus Model X 128GB Good condition,Good condition. No issues. Can meet in Deira.,1073,0,
2945,Fashion,Dubai Marina,individual,0,WHATSAPP 🎉 H&M MODEL Z 64GB GOOD CONDITION,Good condition. No issues. Can meet in Dubai Marina. Contact WhatsApp +971539035984,1149,1,new_listing_fast_post|phone_in_description|spam_title_caps
2874,Electronics,Downtown Dubai,individual,13,LG Model X for sale - Good condition,Good condition. No issues. Can meet in Downtown Dubai.,1013,1,price_too_low
2862,Fashion,Al Barsha,business,8,H&M Model Z 64GB Fair,Fair. No issues. Can meet in Al Barsha. sale sale sale sale sale sale sale,945,1,repeated_words
1564,Mobiles,Dubai Marina,individual,11,Apple iPhone 14 512GB Fair,Fair. No issues. Can meet in Dubai Marina.,1797,0,
1212,Cars,Sharjah,business,16,BMW 3 Series 2008 - Good condition,Good condition. Well maintained. Service history available. Located in Sharjah.,140499,0,
1866,Electronics,Al Barsha,individual,13,LG Model X for sale - Fair,Fair. No issues. Can meet in Al Barsha.,2312,0,
1742,Cars,Deira,individual,3,Honda Model X 2022 - Used,Used. Well maintained. Service history available. Located in Deira.,56364,0,
2251,Fashion,Dubai Marina,individual,29,Nike Model Z for sale - Used,Used. No issues. Can meet in Dubai Marina.,302,0,
2047,Laptops,Bur Dubai,business,21,Asus Vivobook for sale - Like New,Like New. Battery good. Includes charger. Available in Bur Dubai.,3584,0,
2736,Mobiles,Bur Dubai,business,14,Google Model Z 512GB - with box,Good condition. No issues. Can meet in Bur Dubai.,2411,0,
2017,Jobs,JLT,business,0,Generic Model X 64GB - with box,Good condition. No issues. Can meet in JLT.,0,0,
1170,Bikes,Ajman,business,9,Honda Model Y 512GB Like New,Like New. No issues. Can meet in Ajman.,12353,0,
3096,Furniture,Sharjah,individual,14,FREE DELIVERY 💯 COFFEE TABLE - LIKE NEW,Coffee table in Like New. Pickup from Sharjah.,1581,1,spam_title_caps
3487,Jobs,Bur Dubai,individual,16,CALL NOW ⚡ GENERIC MODEL X 256GB - WITH BOX,Like New. No issues. Can meet in Bur Dubai. Contact WhatsApp +971592387188 Email: phillipsrichard@yahoo.com,0,1,email_in_description|phone_in_description|spam_title_caps
3217,Jobs,Ajman,business,9,GENUINE 🎉 OTHER MODEL X 64GB - WITH BOX,Like New. No issues. Can meet in Ajman. Contact WhatsApp +971523306375,0,1,phone_in_description|spam_title_caps
2797,Fashion,JLT,individual,2,Nike Model Y 256GB Good condition,Good condition. No issues. Can meet in JLT.,1321,1,
1544,Mobiles,Downtown Dubai,individual,16,Xiaomi Model Z 128GB New,New. No issues. Can meet in Downtown Dubai.,3182,0,
2221,Services,Sharjah,business,18,Generic Model X 512GB - with box,Used. No issues. Can meet in Sharjah.,351,0,
1463,Furniture,Business Bay,business,5,Coffee table - New,Coffee table in New. Pickup from Business Bay.,263,0,
1988,Fashion,Sharjah,individual,12,Nike Model X 64GB - with box,Fair. No issues. Can meet in Sharjah.,284,0,
2321,Laptops,Business Bay,business,28,Apple laptop 16GB/1024GB - Like New,Like New. Battery good. Includes charger. Available in Business Bay.,5597,0,
1602,Jobs,Al Barsha,business,20,Other Model X for sale - Like New,Like New. No issues. Can meet in Al Barsha.,0,0,
2336,Apartments,JLT,business,8,1BR apartment in JLT - Furnished,1 bedroom apartment in JLT. Furnished. Ready to move. Family building.,11691,0,
3339,Furniture,Downtown Dubai,business,7,100% ORIGINAL 💯 TV UNIT - GOOD CONDITION,TV unit in Good condition. Pickup from Downtown Dubai.,3427,1,spam_title_caps
2260,Furniture,Dubai Marina,business,1,Office chair - Good condition,Office chair in Good condition. Pickup from Dubai Marina.,670,0,
3114,Cars,Deira,individual,1,2017 Nissan Sunny - 129067km,New. Well maintained. Service history available. Located in Deira. Contact WhatsApp +971578861196 Email: hhoffman@yahoo.com,7382,1,email_in_description|new_listing_fast_post|phone_in_description|price_too_low
1807,Fashion,Abu Dhabi,individual,29,Zara Model Y 64GB Fair,Fair. No issues. Can meet in Abu Dhabi.,1258,0,
1886,Bikes,Downtown Dubai,business,14,Honda Model X for sale - Good condition,Good condition. No issues. Can meet in Downtown Dubai.,15298,0,
2582,Cars,Al Barsha,business,6,Mercedes Model Y 2022 - Good condition,Good condition. Well maintained. Service history available. Located in Al Barsha.,129508,0,
2614,Mobiles,Ajman,business,24,OnePlus Model X for sale - New,New. No issues. Can meet in Ajman.,2909,0,
2837,Cars,JLT,individual,16,Honda Model X 2018 - New,New. Well maintained. Service history available. Located in JLT. sale sale sale sale sale sale sale sale sale,23804,1,price_too_low|repeated_words
2873,Cars,Deira,individual,27,BEST PRICE ✅ TOYOTA CAMRY 2008 - USED,Used. Well maintained. Service history available. Located in Deira. Contact WhatsApp +971589302324,3844,1,phone_in_description|price_too_low|spam_title_caps
1282,Cars,Downtown Dubai,business,10,Toyota Corolla 2017 - New,New. Well maintained. Service history available. Located in Downtown Dubai.,78717,0,
1210,Apartments,Sharjah,business,3,1BR apartment in Sharjah - Furnished,1 bedroom apartment in Sharjah. Furnished. Ready to move. Family building.,17989,0,
1111,Apartments,Sharjah,individual,29,3BR apartment in Sharjah - Semi-furnished,3 bedroom apartment in Sharjah. Semi-furnished. Ready to move. Family building.,13425,0,
2920,Laptops,Bur Dubai,business,29,CALL NOW ✅ DELL LAPTOP 32GB/256GB - LIKE NEW,Like New. Battery good. Includes charger. Available in Bur Dubai. Contact WhatsApp +971547856311,2963,1,phone_in_description|spam_title_caps
3165,Services,Downtown Dubai,individual,0,Generic Model Y 64GB Like New,Like New. No issues. Can meet in Downtown Dubai. Contact WhatsApp +971593380969,827,1,new_listing_fast_post|phone_in_description
1457,Electronics,Dubai Marina,individual,12,Sony Model X 256GB New,New. No issues. Can meet in Dubai Marina.,2547,0,
1819,Jobs,Bur Dubai,individual,6,Other Model X for sale - Good condition,Good condition. No issues. Can meet in Bur Dubai.,0,0,
3184,Mobiles,Bur Dubai,business,15,CHEAP 🔥 ONEPLUS MODEL Z 512GB NEW,New. No issues. Can meet in Bur Dubai.,754,1,price_too_low|spam_title_caps
2655,Fashion,Dubai Marina,individual,27,Nike Model Y for sale - Used,Used. No issues. Can meet in Dubai Marina.,1193,0,
1252,Apartments,Deira,business,14,1 bedroom apartment for rent in Deira,1 bedroom apartment in Deira. Furnished. Ready to move. Family building.,9368,0,
1251,Apartments,Dubai Marina,individual,24,4BR apartment in Dubai Marina - Unfurnished,4 bedroom apartment in Dubai Marina. Unfurnished. Ready to move. Family building.,15989,0,
2539,Cars,JLT,business,21,2016 Kia Model Y 205778km - New,New. Well maintained. Service history available. Located in JLT.,164693,0,
3129,Services,Sharjah,individual,0,Generic Model X 64GB - with box,New. No issues. Can meet in Sharjah. original original original original original original original,1514,1,new_listing_fast_post|repeated_words
2926,Cars,Downtown Dubai,individual,1,CALL NOW 😱 2019 HONDA MODEL X 51490KM - NEW,New. Well maintained. Service history available. Located in Downtown Dubai. Email: jenniferross@yahoo.com,24636,1,email_in_description|new_listing_fast_post|price_too_low|spam_title_caps
2018,Furniture,Deira,business,11,TV unit for sale - Fair,TV unit in Fair. Pickup from Deira.,2209,0,
1422,Apartments,Deira,business,22,4 bedroom apartment for rent in Deira,4 bedroom apartment in Deira. Unfurnished. Ready to move. Family building.,7515,0,
2175,Cars,Business Bay,individual,9,Kia Model Z 2009 - Like New,Like New. Well maintained. Service history available. Located in Business Bay.,98907,0,
1620,Laptops,Ajman,individual,30,Asus laptop 8GB/256GB - Good condition,Good condition. Battery good. Includes charger. Available in Ajman.,5332,0,
1173,Furniture,JLT,individual,24,Dining table for sale - Used,Dining table in Used. Pickup from JLT.,475,0,
1486,Cars,Abu Dhabi,business,6,2008 Kia Model X - 237714km,New. Well maintained. Service history available. Located in Abu Dhabi.,173577,0,
2985,Electronics,Ajman,business,27,100% ORIGINAL 📞 LG MODEL Z 64GB NEW,New. No issues. Can meet in Ajman.,2718,1,spam_title_caps
2080,Cars,Downtown Dubai,business,1,2008 Nissan X-Trail 176603km - Like New,Like New. Well maintained. Service history available. Located in Downtown Dubai.,31838,0,
2117,Laptops,Sharjah,individual,17,Dell Latitude for sale - Good condition,Good condition. Battery good. Includes charger. Available in Sharjah.,5433,0,
2357,Mobiles,Business Bay,business,16,OnePlus Model Y 256GB - with box,Good condition. No issues. Can meet in Business Bay.,3612,0,
2041,Fashion,Ajman,business,18,Nike Model Z for sale - Used,Used. No issues. Can meet in Ajman.,1021,0,
2090,Laptops,Al Barsha,business,28,Dell laptop 8GB/512GB - Good condition,Good condition. Battery good. Includes charger. Available in Al Barsha.,4990,0,
2355,Fashion,Ajman,business,19,H&M Model X 128GB Fair,Fair. No issues. Can meet in Ajman.,504,0,
1211,Services,Ajman,individual,13,Other Model Z 256GB Like New,Like New. No issues. Can meet in Ajman.,1612,0,
1613,Services,Dubai Marina,business,19,Other Model Z 64GB - with box,Used. No issues. Can meet in Dubai Marina.,273,0,
3149,Bikes,Downtown Dubai,individual,28,Honda Model Y 256GB Good condition,Good condition. No issues. Can meet in Downtown Dubai.,1774,1,
1464,Cars,Al Barsha,individual,19,2023 Kia Model Y - 222069km,Fair. Well maintained. Service history available. Located in Al Barsha.,152221,0,
2467,Laptops,Bur Dubai,business,17,HP Pavilion for sale - New,New. Battery good. Includes charger. Available in Bur Dubai.,3271,0,
1554,Apartments,Al Barsha,individual,0,1BR apartment in Al Barsha - Semi-furnished,1 bedroom apartment in Al Barsha. Semi-furnished. Ready to move. Family building.,4548,0,
1907,Services,Al Barsha,individual,26,Other Model X 128GB - with box,Fair. No issues. Can meet in Al Barsha.,1143,0,
1993,Apartments,Ajman,business,27,4BHK in Ajman | Unfurnished,4 bedroom apartment in Ajman. Unfurnished. Ready to move. Family building.,3558,0,
2968,Furniture,Abu Dhabi,individual,0,Dining table for sale - Like New,Dining table in Like New. Pickup from Abu Dhabi.,3321,1,new_listing_fast_post
2788,Bikes,Deira,individual,0,PROMOTION 😱 YAMAHA MODEL X 128GB - WITH BOX,Used. No issues. Can meet in Deira.,9398,1,new_listing_fast_post|spam_title_caps
2598,Furniture,Deira,business,16,Office chair - Fair,Office chair in Fair. Pickup from Deira.,313,0,
1096,Jobs,Ajman,business,24,Generic Model X 256GB - with box,Good condition. No issues. Can meet in Ajman.,0,0,
2964,Cars,Deira,business,23,100% ORIGINAL ✅ 2020 KIA MODEL Z 84119KM - NEW,New. Well maintained. Service history available. Located in Deira.,8629,1,price_too_low|spam_title_caps
2364,Mobiles,Bur Dubai,business,20,Apple iPhone 15 Pro 256GB - with box,Good condition. No issues. Can meet in Bur Dubai.,734,0,
2924,Services,Abu Dhabi,business,23,FREE DELIVERY 💯 OTHER MODEL Z 512GB LIKE NEW,Like New. No issues. Can meet in Abu Dhabi. Contact WhatsApp +971572218828,1131,1,phone_in_description|spam_title_caps
1611,Cars,Deira,individual,7,2021 Toyota Yaris - 73341km,Good condition. Well maintained. Service history available. Located in Deira.,61171,0,
1445,Laptops,Dubai Marina,individual,26,Asus Vivobook 32GB RAM 1024GB SSD - Fair,Fair. Battery good. Includes charger. Available in Dubai Marina.,6062,0,
1237,Cars,Dubai Marina,business,23,2014 Honda Model Z - 61004km,Used. Well maintained. Service history available. Located in Dubai Marina.,175438,0,
3310,Apartments,Al Barsha,individual,0,CHEAP ✅ 4 BEDROOM APARTMENT FOR RENT IN AL BARSHA,4 bedroom apartment in Al Barsha. Furnished. Ready to move. Family building. Contact WhatsApp +971585772847,783,1,new_listing_fast_post|phone_in_description|price_too_low|spam_title_caps
1873,Services,Downtown Dubai,business,28,Other Model X 512GB Fair,Fair. No issues. Can meet in Downtown Dubai.,1627,0,
3497,Services,Ajman,individual,23,URGENT SALE 🎉 GENERIC MODEL X FOR SALE - GOOD CONDITION,Good condition. No issues. Can meet in Ajman.,1651,1,spam_title_caps
3054,Electronics,Bur Dubai,individual,25,PROMOTION 📞 JBL MODEL X 512GB - WITH BOX,Good condition. No issues. Can meet in Bur Dubai. Email: bethwilliams@outlook.com,144,1,email_in_description|price_too_low|spam_title_caps
2673,Bikes,Business Bay,individual,29,Honda Model Y 256GB Used,Used. No issues. Can meet in Business Bay.,18059,0,
3122,Cars,Sharjah,individual,0,CHEAP 🎉 2013 TOYOTA CAMRY 183680KM - LIKE NEW,Like New. Well maintained. Service history available. Located in Sharjah.,23027,1,new_listing_fast_post|price_too_low|spam_title_caps
1839,Jobs,Dubai Marina,business,20,Generic Model X 64GB - with box,Used. No issues. Can meet in Dubai Marina.,0,0,
1581,Mobiles,Abu Dhabi,business,4,Xiaomi Model X for sale - New,New. No issues. Can meet in Abu Dhabi.,588,0,
2281,Cars,Downtown Dubai,individual,14,2016 Toyota Yaris 37422km - Like New,Like New. Well maintained. Service history available. Located in Downtown Dubai.,150292,0,
1979,Apartments,Sharjah,individual,22,3BHK in Sharjah | Semi-furnished,3 bedroom apartment in Sharjah. Semi-furnished. Ready to move. Family building.,12300,0,
1790,Fashion,Dubai Marina,business,24,Nike Model Y for sale - Good condition,Good condition. No issues. Can meet in Dubai Marina.,873,0,
1841,Furniture,Business Bay,business,7,Dining table for sale - New,Dining table in New. Pickup from Business Bay.,3292,0,
1482,Electronics,Bur Dubai,individual,19,Samsung Note 20 for sale - Like New,Like New. No issues. Can meet in Bur Dubai.,2704,0,
2910,Furniture,Al Barsha,business,25,Bed frame for sale - New,Bed frame in New. Pickup from Al Barsha. Contact WhatsApp +971576679745,1351,1,phone_in_description
1621,Cars,Business Bay,individual,27,Kia Model X 2021 - Like New,Like New. Well maintained. Service history available. Located in Business Bay.,124983,0,
2502,Jobs,Abu Dhabi,individual,8,Other Model Z 64GB - with box,Used. No issues. Can meet in Abu Dhabi.,0,0,
1332,Apartments,Abu Dhabi,business,19,2BR apartment in Abu Dhabi - Unfurnished,2 bedroom apartment in Abu Dhabi. Unfurnished. Ready to move. Family building.,7342,0,
1478,Mobiles,Dubai Marina,business,18,Google Model X 256GB Fair,Fair. No issues. Can meet in Dubai Marina.,3565,0,
2494,Furniture,Business Bay,business,10,Sofa set for sale - Fair,Sofa set in Fair. Pickup from Business Bay.,2118,0,
1507,Electronics,Bur Dubai,business,19,LG Model X 64GB - with box,Used. No issues. Can meet in Bur Dubai.,4480,0,
2450,Electronics,Sharjah,individual,24,Bose Model Y for sale - Fair,Fair. No issues. Can meet in Sharjah.,3535,0,
